Tahun	Bulan	Export
2006	Jan	226.1100
2006	Feb	219.9700
2006	Mar	242.4000
2006	May	212.7100
2006	Apr	261.4400
2006	Jun	264.7200
2006	Jul	287.9700
2006	Aug	293.3800
2006	Sep	268.2500
2006	Oct	226.5000
2006	Nov	260.4400
2006	Dec	350.8600
2007	Jan	312.9700
2007	Feb	266.2500
2007	Mar	316.9300
2007	May	267.0600
2007	Apr	312.4700
2007	Jun	255.3100
2007	Jul	289.7600
2007	Aug	304.0800
2007	Sep	314.6600
2007	Oct	235.4000
2007	Nov	323.9000
2007	Dec	270.8800
2008	Jan	261.4400
2008	Feb	288.1500
2008	Mar	304.5000
2008	May	283.5400
2008	Apr	303.9100
2008	Jun	285.9500
2008	Jul	318.7900
2008	Aug	276.8400
2008	Sep	286.0200
2008	Oct	212.8700
2008	Nov	231.7800
2008	Dec	243.4600
2009	Jan	119.4900
2009	Feb	211.6900
2009	Mar	238.8600
2009	May	237.3000
2009	Apr	284.8700
2009	Jun	275.0400
2009	Jul	319.1600
2009	Aug	259.4700
2009	Sep	247.1000
2009	Oct	259.5200
2009	Nov	258.4000
2009	Dec	355.5600
2010	Jan	387.3600
2010	Feb	314.4700
2010	Mar	347.1000
2010	May	300.2300
2010	Apr	278.3900
2010	Jun	327.4300
2010	Jul	323.5700
2010	Aug	334.0400
2010	Sep	249.2000
2010	Oct	309.8300
2010	Nov	327.4500
2010	Dec	369.5100
2011	Jan	323.5500
2011	Feb	431.1200
2011	Mar	483.6700
2011	May	434.2700
2011	Apr	380.5000
2011	Jun	394.1500
2011	Jul	281.2100
2011	Aug	436.1900
2011	Sep	331.6700
2011	Oct	378.0000
2011	Nov	377.6800
2011	Dec	439.5100
2012	Jan	395.4100
2012	Feb	398.3700
2012	Mar	432.0200
2012	May	358.6400
2012	Apr	366.7700
2012	Jun	401.3600
2012	Jul	384.4900
2012	Aug	325.9500
2012	Sep	371.9000
2012	Oct	384.6900
2012	Nov	390.8100
2012	Dec	440.7900
2013	Jan	411.1800
2013	Feb	422.0100
2013	Mar	423.8500
2013	May	440.2400
2013	Apr	464.5900
2013	Jun	470.1000
2013	Jul	480.9400
2013	Aug	313.8800
2013	Sep	432.8200
2013	Oct	464.0300
2013	Nov	419.3800
2013	Dec	583.5500
